Possession_Group,count,mean,median,std,var,min,max,Q1,Q3,IQR,CI_Lower,CI_Upper
Above Median,20,7.684483066409688,7.204651162790698,1.6174991128074396,2.6163033799328543,5.813953488372094,12.0,6.587301587301588,8.169221698113208,1.5819201108116205,6.927470179244384,8.441495953574991
Below Median,20,8.850193798449613,8.75,2.205932807743457,4.866139552278931,4.75,13.0,7.729166666666667,10.354166666666666,2.624999999999999,7.817785464831353,9.88260213206787
