Player,Pos,90s,Crs,Crosses_per_90
David DoudÄra,MF,1.0,5,5.0
DÃ©sirÃ© DouÃ©,MF,4.4,3,0.6818181818181818
Deroy Duarte,MF,2.9,1,0.3448275862068966
Laros Duarte,MF,1.8,2,1.1111111111111112
Edin DÅ¾eko,FW,2.0,0,0.0
Breel Embolo,FW,5.6,1,0.17857142857142858
Julio Enciso,FW,4.3,5,1.1627906976744187
Endrick,FW,1.3,0,0.0
Pervis EstupiÃ±Ã¡n,MF,1.0,2,2.0
Stephen EustÃ¡quio,MF,4.4,45,10.227272727272727
Saeid Ezatolahi,MF,2.9,0,0.0
Eberechi Eze,MF,2.3,2,0.8695652173913044
JosÃ© Fajardo,FW,1.7,0,0.0
Marko Farji,MF,0.6,2,3.3333333333333335
Ahmed Fathy,MF,1.7,0,0.0
Abbosbek Fayzullayev,MF,2.4,10,4.166666666666667
JoÃ£o FÃ©lix,MF,2.2,4,1.8181818181818181
Lewis Ferguson,MF,3.0,9,3.0
Bruno Fernandes,MF,4.7,22,4.680851063829787
Enzo FernÃ¡ndez,MF,7.3,5,0.684931506849315
Ãlvaro Fidalgo,MF,1.1,4,3.6363636363636362
Seko Fofana,MF,1.0,0,0.0
Lyle Foster,FW,0.6,0,0.0
Remo Freuler,MF,6.6,5,0.7575757575757576
Jassem Gaber,MF,1.7,0,0.0
Cody Gakpo,FW,4.1,12,2.9268292682926833
MatÃ­as Galarza,MF,4.3,4,0.9302325581395349
Ahmed Al-Ganehi,FW,0.4,1,2.5
Ben Gannon-Doak,MF,2.1,6,2.857142857142857
Gavi,FW,0.8,2,2.5
IsmaÃ«l Gharbi,MF,1.4,1,0.7142857142857143
Mehdi Ghayedi,FW,0.5,3,6.0
Saman Ghoddos,MF,2.3,1,0.4347826086956522
Mohammad Ghorbani,MF,1.0,0,0.0
Armin Gigovic,MF,0.9,0,0.0
Santiago GimÃ©nez,FW,1.0,0,0.0
Diego GÃ³mez,MF,3.4,1,0.29411764705882354
Armando GonzÃ¡lez,FW,0.2,0,0.0
NicolÃ¡s GonzÃ¡lez,MF,2.9,6,2.0689655172413794
Anthony Gordon,MF,4.4,8,1.8181818181818181
Leon Goretzka,MF,1.1,1,0.9090909090909091
Keisuke GotÅ,FW,0.1,0,0.0
Amine Gouiri,FW,2.8,1,0.35714285714285715
Ryan Gravenberch,MF,3.8,4,1.0526315789473684
Michael Gregoritsch,FW,2.1,0,0.0
Cho Gue-sung,FW,0.3,0,0.0
Idrissa Gueye,MF,4.0,1,0.25
Pape Gueye,MF,2.6,3,1.1538461538461537
Bruno GuimarÃ£es,MF,4.6,16,3.4782608695652177
Deniz GÃ¼l,FW,0.4,0,0.0
Arda GÃ¼ler,MF,3.0,14,4.666666666666667
Brian GutiÃ©rrez,MF,2.2,5,2.2727272727272725
Viktor GyÃ¶keres,FW,4.0,1,0.25
Aziz GÊ»aniyev,MF,1.4,6,4.285714285714286
Erling Haaland,FW,5.2,1,0.1923076923076923
Anis Hadj Moussa,MF,1.1,5,4.545454545454545
Amir HadÅ¾iahmetoviÄ,MF,0.1,1,10.0
Ali Al Hamadi,FW,2.0,0,0.0
Abdullah Al-Hamdan,FW,0.8,1,1.25
Odiljon Hamrobekov,MF,0.9,0,0.0
Sontje Hansen,FW,0.5,0,0.0
Carlos Harvey,MF,3.0,0,0.0
Haissem Hassan,MF,1.4,9,6.428571428571429
Abdulaziz Hatem,MF,0.5,0,0.0
Kai Havertz,FW,3.9,1,0.25641025641025644
Hassan Al-Haydos,MF,0.6,0,0.0
Hwang Hee-chan,FW,1.2,0,0.0
Alaa Al Hejji,MF,0.4,0,0.0
Jordan Henderson,MF,0.1,2,20.0
Son Heung-min,FW,1.9,3,1.5789473684210527
Adam HloÅ¾ek,FW,1.7,0,0.0
Amirhossein Hosseinzadeh,FW,0.2,0,0.0
Ajdin Hrustic,MF,0.9,5,5.555555555555555
Al-Hashmi Al-Hussain,MF,0.4,0,0.0
Ayman Hussein,FW,1.3,0,0.0
Oh Hyeon-gyu,FW,1.4,1,0.7142857142857143
Hwang In-beom,MF,2.9,2,0.6896551724137931
Christ Inao OulaÃ¯,MF,2.3,0,0.0
Zidane Iqbal,MF,2.1,2,0.9523809523809523
Jackson Irvine,MF,2.5,2,0.8
Alexander Isak,FW,4.0,3,0.75
Wilson Isidor,FW,2.1,0,0.0
Zaid Ismail,MF,1.3,0,0.0
Junya ItÅ,MF,2.4,17,7.083333333333334
Nicolas Jackson,FW,2.6,1,0.3846153846153846
Lee Jae-sung,FW,1.3,0,0.0
Amer Jamous,MF,0.2,0,0.0
Ardon Jashari,MF,0.8,1,1.25
Ali Jasim,MF,1.4,4,2.857142857142857
Danley Jean-Jacques,MF,2.9,1,0.3448275862068966
Eom Ji-sung,MF,0.5,3,6.0
RaÃºl JimÃ©nez,FW,3.5,0,0.0
Kim Jin-gyu,MF,0.6,1,1.6666666666666667
Frenkie de Jong,MF,3.6,1,0.2777777777777778
Lenny Joseph,FW,1.3,0,0.0
Vinicius JÃºnior,FW,4.9,12,2.4489795918367343
Elijah Just,MF,2.9,2,0.6896551724137931
Ayoub El Kaabi,FW,0.8,0,0.0
Kaku,MF,0.1,0,0.0
SaÅ¡a KalajdÅ¾iÄ,FW,0.9,1,1.1111111111111112
Daichi Kamada,MF,3.7,4,1.081081081081081
Harry Kane,FW,7.2,1,0.1388888888888889
Lee Kang-in,FW,3.0,19,6.333333333333333
Mohamed Kanno,MF,2.5,0,0.0
Jesper KarlstrÃ¶m,MF,1.5,0,0.0
Edo Kayembe,MF,1.8,2,1.1111111111111112
Franck KessiÃ©,MF,3.8,2,0.5263157894736842
Abdullah Al-Khaibari,MF,2.0,0,0.0
Dostonbek Khamdamov,MF,1.1,5,4.545454545454545
Rani Khedira,MF,1.7,0,0.0
Orkun KÃ¶kÃ§Ã¼,MF,1.7,6,3.5294117647058822
IsmaÃ«l KonÃ©,MF,1.6,3,1.875
Manu KonÃ©,MF,4.3,1,0.23255813953488372
