Pos,Count,Mean,Median,Std_Dev,Variance,Minimum,Q1,Q3,Maximum
FW,50,0.54,0.0,1.27,1.62,0.0,0.0,0.4,6.33
MF,50,2.66,1.46,3.49,12.17,0.0,0.09,4.12,20.0
