Position,Sample Size,Mean Accuracy (%),Median Accuracy (%),Standard Deviation,95% CI Lower,95% CI Upper
Forwards,50,40.6,42.22,23.81,33.83,47.36
Midfielders,50,32.89,33.33,23.21,26.29,39.49
