Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999,Shooting_Accuracy,Accuracy_Difference
972,Ruben Vargas,MF,ch Switzerland,27,1998,3.2,2,6,4,66.7,1.9,1.27,0.33,0.5,0,0,Matches,6ecbddf6,66.66666666666666,0.03333333333334565
982,Federico Viñas,FW,uy Uruguay,27,1998,2.1,0,6,3,50.0,2.81,1.41,0.0,0.0,0,0,Matches,d30c7094,50.0,0.0
983,Denis Višinský,FW,cz Czechia,23,2003,0.6,0,3,0,0.0,4.91,0.0,0.0,,0,0,Matches,d5aac0e9,0.0,0.0
984,Pedro Vite,MF,ec Ecuador,24,2002,4.0,0,4,1,25.0,1.0,0.25,0.0,0.0,0,0,Matches,9c146b36,25.0,0.0
985,Vitinha,MF,pt Portugal,26,2000,4.2,0,4,0,0.0,0.96,0.0,0.0,,0,0,Matches,3b029691,0.0,0.0
986,Nikola Vlašić,MF,hr Croatia,28,1997,2.1,1,3,1,33.3,1.43,0.48,0.33,1.0,0,0,Matches,aa8e289e,33.33333333333333,0.03333333333333144
987,Cristian Volpato,MF,au Australia,22,2003,1.8,0,4,1,25.0,2.25,0.56,0.0,0.0,0,0,Matches,72f87f25,25.0,0.0
991,Elye Wahi,FW,ci Côte d'Ivoire,23,2003,1.2,0,3,2,66.7,2.45,1.64,0.0,0.0,0,0,Matches,0d7b6576,66.66666666666666,0.03333333333334565
1002,Nico Williams,MF,es Spain,23,2002,1.3,0,4,2,50.0,3.19,1.59,0.0,0.0,0,0,Matches,afdc14d7,50.0,0.0
1005,Florian Wirtz,MF,de Germany,23,2003,4.0,0,10,1,10.0,2.49,0.25,0.0,0.0,0,0,Matches,e7fcf289,10.0,0.0
1006,Yoane Wissa,FW,cd Congo DR,29,1996,4.0,3,11,3,27.3,2.75,0.75,0.27,1.0,1,1,Matches,2500cef9,27.27272727272727,0.02727272727273089
1009,Chris Wood,FW,nz New Zealand,34,1991,3.0,0,5,2,40.0,1.67,0.67,0.0,0.0,0,0,Matches,4e9a0555,40.0,0.0
1011,Granit Xhaka,MF,ch Switzerland,33,1992,6.7,1,9,2,22.2,1.35,0.3,0.11,0.5,1,1,Matches,e61b8aee,22.22222222222222,0.022222222222222143
1016,John Yeboah,MF,ec Ecuador,25,2000,3.5,0,8,3,37.5,2.32,0.87,0.0,0.0,0,0,Matches,8dfdc6c3,37.5,0.0
1018,Kenan Yıldız,MF,tr Türkiye,21,2005,2.4,0,14,1,7.1,5.78,0.41,0.0,0.0,0,0,Matches,d8cda243,7.142857142857142,0.042857142857142705
1024,İsmail Yüksek,MF,tr Türkiye,27,1999,1.5,0,5,0,0.0,3.24,0.0,0.0,,0,0,Matches,6c5af908,0.0,0.0
1035,Zizo,MF,eg Egypt,30,1996,0.6,0,3,1,33.3,4.82,1.61,0.0,0.0,0,0,Matches,c6415ba9,33.33333333333333,0.03333333333333144
1038,Martin Ødegaard,MF,no Norway,27,1998,5.2,0,9,3,33.3,1.72,0.57,0.0,0.0,0,0,Matches,79300479,33.33333333333333,0.03333333333333144
