Pos,Count,Mean,Median,Std_Dev,Variance,Minimum,Q1,Q3,Maximum
FW,50,2.08,1.0,2.3,5.3,0,0.25,3.0,11
MF,50,2.4,2.0,3.01,9.06,0,0.25,3.0,18
